entry_number,year_date,dc_title,authid,authname,surname,given_name,initials,afid,affilname,affiliation_city,affiliation_country
4,2021,seiche- and storm-driven benthic oxygen uptake in a eutrophic freshwater bay determined with aquatic eddy covariance,57190514255,klump j,Klump,J. Val,J.V.,60019909,University of Wisconsin-Milwaukee,Milwaukee,United States
5,2021,taxa-specific responses to flooding shape patterns of abundance in river rock pools,57223211427,stunkle c,Stunkle,Charles R.,C.R.,60002476,Virginia Commonwealth University,Richmond,United States
5,2021,taxa-specific responses to flooding shape patterns of abundance in river rock pools,56903601000,davidson a,Davidson,Andrew T.,A.T.,60002476,Virginia Commonwealth University,Richmond,United States
5,2021,taxa-specific responses to flooding shape patterns of abundance in river rock pools,57207908301,shuart w,Shuart,William J.,W.J.,60002476,Virginia Commonwealth University,Richmond,United States
5,2021,taxa-specific responses to flooding shape patterns of abundance in river rock pools,8974742700,mccoy m,McCoy,Michael W.,M.W.,60016280,East Carolina University,Greenville,United States
5,2021,taxa-specific responses to flooding shape patterns of abundance in river rock pools,6602943494,vonesh j,Vonesh,James R.,J.R.,60002476,Virginia Commonwealth University,Richmond,United States
6,2021,long-term monitoring reveals convergent patterns of recovery from mining contamination across 4 western us watersheds,7005743850,clements w,Clements,William H.,W.H.,60009226,Colorado State University,Fort Collins,United States
6,2021,long-term monitoring reveals convergent patterns of recovery from mining contamination across 4 western us watersheds,7005181959,herbst d,Herbst,David B.,D.B.,100342319,Sierra Nevada Aquatic Research Laboratory,Mammoth Lakes,United States
6,2021,long-term monitoring reveals convergent patterns of recovery from mining contamination across 4 western us watersheds,6701743482,hornberger m,Hornberger,Michelle I.,M.I.,60011347,United States Geological Survey,Reston,United States
6,2021,long-term monitoring reveals convergent patterns of recovery from mining contamination across 4 western us watersheds,55937582900,mebane c,Mebane,Christopher A.,C.A.,60011347,United States Geological Survey,Reston,United States
6,2021,long-term monitoring reveals convergent patterns of recovery from mining contamination across 4 western us watersheds,7102024096,short t,Short,Terry M.,T.M.,60011347,United States Geological Survey,Reston,United States
7,2021,"the relationship between watershed protection and water quality: the case of québec, canada",54380067200,hanna d,Hanna,Dalal E.L.,D.E.L.,60059360,"McGill University, Macdonald Campus",Sainte-Anne-de-Bellevue,Canada
7,2021,"the relationship between watershed protection and water quality: the case of québec, canada",57219849351,lehner b,Lehner,Bernhard,B.,60002494,Université McGill,Montreal,Canada
7,2021,"the relationship between watershed protection and water quality: the case of québec, canada",24340288500,taranu z,Taranu,Zofia E.,Z.E.,60000673,Environment Canada,Gatineau,Canada
7,2021,"the relationship between watershed protection and water quality: the case of québec, canada",57205036053,solomon c,Solomon,Christopher T.,C.T.,60017474,Institute of Ecosystem Studies,Millbrook,United States
7,2021,"the relationship between watershed protection and water quality: the case of québec, canada",7201460901,bennett e,Bennett,Elena M.,E.M.,60059360,"McGill University, Macdonald Campus",Sainte-Anne-de-Bellevue,Canada
8,2021,evaluating the efficacy of environmental dna (edna) to detect an endangered freshwater mussel lasmigona decorata (bivalvia:unionidae),57223048466,schmidt b,Schmidt,Benjamin C.,B.C.,60026610,Clemson University,Clemson,United States
8,2021,evaluating the efficacy of environmental dna (edna) to detect an endangered freshwater mussel lasmigona decorata (bivalvia:unionidae),8528734400,spear s,Spear,Stephen F.,S.F.,112766744,Conservation Science Training,Cumberland,United States
8,2021,evaluating the efficacy of environmental dna (edna) to detect an endangered freshwater mussel lasmigona decorata (bivalvia:unionidae),57223042961,tomi a,Tomi,Amelia,A.,112766744,Conservation Science Training,Cumberland,United States
8,2021,evaluating the efficacy of environmental dna (edna) to detect an endangered freshwater mussel lasmigona decorata (bivalvia:unionidae),55899812100,jachowski c,Jachowski,Catherine M.Bodinof,C.M.B.,60026610,Clemson University,Clemson,United States
9,2021,dispersal limitation by structures is more important than intermittent drying effects for metacommunity dynamics in a highly fragmented river network,57211440490,gauthier m,Gauthier,Maïlys,M.,60001384,Centre Clermont-Auvergne-Rhône-Alpes,Saint-Genes-Champanelle,France
9,2021,dispersal limitation by structures is more important than intermittent drying effects for metacommunity dynamics in a highly fragmented river network,57218849707,le goff g,Le Goff,Guillaume,G.,60001384,Centre Clermont-Auvergne-Rhône-Alpes,Saint-Genes-Champanelle,France
9,2021,dispersal limitation by structures is more important than intermittent drying effects for metacommunity dynamics in a highly fragmented river network,57189646824,launay b,Launay,Bertrand,B.,60001384,Centre Clermont-Auvergne-Rhône-Alpes,Saint-Genes-Champanelle,France
9,2021,dispersal limitation by structures is more important than intermittent drying effects for metacommunity dynamics in a highly fragmented river network,6701687863,douady c,Douady,Christophe J.,C.J.,60008134,CNRS Centre National de la Recherche Scientifique,Paris,France
9,2021,dispersal limitation by structures is more important than intermittent drying effects for metacommunity dynamics in a highly fragmented river network,6602386025,datry t,Datry,Thibault,T.,60001384,Centre Clermont-Auvergne-Rhône-Alpes,Saint-Genes-Champanelle,France
10,2021,a seasonally dynamic model of light at the stream surface,56385982500,savoy p,Savoy,Philip,P.,60008724,Duke University,Durham,United States
10,2021,a seasonally dynamic model of light at the stream surface,7007044685,bernhardt e,Bernhardt,Emily,E.,60008724,Duke University,Durham,United States
10,2021,a seasonally dynamic model of light at the stream surface,57207450558,kirk l,Kirk,Lily,L.,60013959,University of Florida,Gainesville,United States
10,2021,a seasonally dynamic model of light at the stream surface,26642983100,cohen m,Cohen,Matthew J.,M.J.,60013959,University of Florida,Gainesville,United States
10,2021,a seasonally dynamic model of light at the stream surface,7005797526,heffernan j,Heffernan,James B.,J.B.,60008724,Duke University,Durham,United States
11,2021,"water depth, flow variability, and size class influence the movement behavior of freshwater mussels (unionida) in great lakes river drainages",57225712204,sullivan k,Sullivan,Kyle T.,K.T.,60009841,Central Michigan University,Mount Pleasant,United States
11,2021,"water depth, flow variability, and size class influence the movement behavior of freshwater mussels (unionida) in great lakes river drainages",24465944200,woolnough d,Woolnough,Daelyn A.,D.A.,60009841,Central Michigan University,Mount Pleasant,United States
12,2021,effect of identity and richness on ecological function in aggregations of 2 similarly sized unionid mussel species,57195276993,nickerson z,Nickerson,Zachary L.,Z.L.,60025371,The University of Alabama,Tuscaloosa,United States
12,2021,effect of identity and richness on ecological function in aggregations of 2 similarly sized unionid mussel species,57225694397,green p,Green,P. Anne Marie,P.A.M.,60025371,The University of Alabama,Tuscaloosa,United States
12,2021,effect of identity and richness on ecological function in aggregations of 2 similarly sized unionid mussel species,57222742069,shouse l,Shouse,Lauren N.,L.N.,60025371,The University of Alabama,Tuscaloosa,United States
12,2021,effect of identity and richness on ecological function in aggregations of 2 similarly sized unionid mussel species,28067598600,atkinson c,Atkinson,Carla L.,C.L.,60025371,The University of Alabama,Tuscaloosa,United States
13,2021,taxon-specific photosynthetic responses of attached algal assemblages to experimental translocation between river habitats,56545734700,bouma-gregson k,Bouma-Gregson,Keith,K.,60025038,"University of California, Berkeley",Berkeley,United States
13,2021,taxon-specific photosynthetic responses of attached algal assemblages to experimental translocation between river habitats,57202154502,power m,Power,Mary E.,M.E.,60025038,"University of California, Berkeley",Berkeley,United States
13,2021,taxon-specific photosynthetic responses of attached algal assemblages to experimental translocation between river habitats,6603082790,furey p,Furey,Paula C.,P.C.,60009072,"St. Catherine University, USA",Minneapolis,United States
13,2021,taxon-specific photosynthetic responses of attached algal assemblages to experimental translocation between river habitats,7003607370,huckins c,Huckins,Casey J.,C.J.,60016536,Michigan Technological University,Houghton,United States
13,2021,taxon-specific photosynthetic responses of attached algal assemblages to experimental translocation between river habitats,6603646297,vadeboncoeur y,Vadeboncoeur,Yvonne,Y.,60018306,Wright State University,Dayton,United States
14,2021,updated occurrence data and species distribution modeling of the invasive amphipod apocorophium lacustre in north america,57202320653,egly r,Egly,Rachel M.,R.M.,60003545,Loyola University of Chicago,Chicago,United States
14,2021,updated occurrence data and species distribution modeling of the invasive amphipod apocorophium lacustre in north america,57210797366,oshaughnessey e,Oshaughnessey,Erin M.,E.M.,60003545,Loyola University of Chicago,Chicago,United States
14,2021,updated occurrence data and species distribution modeling of the invasive amphipod apocorophium lacustre in north america,8210133100,keller r,Keller,Reuben P.,R.P.,60003545,Loyola University of Chicago,Chicago,United States
15,2021,nitrate uptake enhanced by availability of dissolved organic matter in tropical montane streams,57222523935,rodnguez-cardona b,Rodnguez-Cardona,Bianca M.,B.M.,60027576,University of New Hampshire Durham,Durham,United States
15,2021,nitrate uptake enhanced by availability of dissolved organic matter in tropical montane streams,54379416900,wymore a,Wymore,Adam S.,A.S.,60027576,University of New Hampshire Durham,Durham,United States
15,2021,nitrate uptake enhanced by availability of dissolved organic matter in tropical montane streams,7006465552,mcdowell w,McDowell,William H.,W.H.,60027576,University of New Hampshire Durham,Durham,United States
16,2021,nutrients and warming alter mountain lake benthic algal structure and function,56270609700,oleksy i,Oleksy,Isabella A.,I.A.,60009226,Colorado State University,Fort Collins,United States
16,2021,nutrients and warming alter mountain lake benthic algal structure and function,7401569549,baron j,Baron,Jill S.,J.S.,60009226,Colorado State University,Fort Collins,United States
16,2021,nutrients and warming alter mountain lake benthic algal structure and function,57195405105,beck w,Beck,Whitney S.,W.S.,60009226,Colorado State University,Fort Collins,United States
17,2021,large portion of usa streams lose protection with new interpretation of clean water act,55534340500,fesenmyer k,Fesenmyer,Kurt A.,K.A.,108637911,Trout Unlimited,Boise,United States
17,2021,large portion of usa streams lose protection with new interpretation of clean water act,12760671700,wenger s,Wenger,Seth J.,S.J.,60029747,University of Georgia,Athens,United States
17,2021,large portion of usa streams lose protection with new interpretation of clean water act,7102043970,leigh d,Leigh,David S.,D.S.,60029747,University of Georgia,Athens,United States
17,2021,large portion of usa streams lose protection with new interpretation of clean water act,7006378259,neville h,Neville,Helen M.,H.M.,108637911,Trout Unlimited,Boise,United States
18,2021,confronting existing knowledge on ecological preferences of stream macroinvertebrates with independent biomonitoring data using a bayesian multi-species distribution model,55909075500,vermeiren p,Vermeiren,Peter,P.,60002612,Eawag - Swiss Federal Institute of Aquatic Science and Technology,Dubendorf,Switzerland
18,2021,confronting existing knowledge on ecological preferences of stream macroinvertebrates with independent biomonitoring data using a bayesian multi-species distribution model,35074887100,reichert p,Reichert,Peter,P.,60002612,Eawag - Swiss Federal Institute of Aquatic Science and Technology,Dubendorf,Switzerland
18,2021,confronting existing knowledge on ecological preferences of stream macroinvertebrates with independent biomonitoring data using a bayesian multi-species distribution model,7202423605,graf w,Graf,Wolfram,W.,60024895,Universitat fur Bodenkultur Wien,Vienna,Austria
18,2021,confronting existing knowledge on ecological preferences of stream macroinvertebrates with independent biomonitoring data using a bayesian multi-species distribution model,54400356600,leitner p,Leitner,Patrick,P.,60024895,Universitat fur Bodenkultur Wien,Vienna,Austria
18,2021,confronting existing knowledge on ecological preferences of stream macroinvertebrates with independent biomonitoring data using a bayesian multi-species distribution model,6506641618,schmidt-kloiber a,Schmidt-Kloiber,Astrid,A.,60024895,Universitat fur Bodenkultur Wien,Vienna,Austria
18,2021,confronting existing knowledge on ecological preferences of stream macroinvertebrates with independent biomonitoring data using a bayesian multi-species distribution model,14028889000,schuwirth n,Schuwirth,Nele,N.,60002612,Eawag - Swiss Federal Institute of Aquatic Science and Technology,Dubendorf,Switzerland
19,2021,modeling thermal metrics of importance for native vs non-native fish across stream networks to provide insight for watershed-scale fisheries management,57190963461,marsha a,Marsha,Amy L.,A.L.,60003518,USDA Forest Service Pacific Northwest Research Station,Portland,United States
19,2021,modeling thermal metrics of importance for native vs non-native fish across stream networks to provide insight for watershed-scale fisheries management,16835808400,ashley steel e,Ashley Steel,E.,E.,60015481,University of Washington,Seattle,United States
19,2021,modeling thermal metrics of importance for native vs non-native fish across stream networks to provide insight for watershed-scale fisheries management,7006958266,fullerton a,Fullerton,Aimee H.,A.H.,60003723,NOAA Northwest Fisheries Science Center,Seattle,United States
20,2021,local and regional drivers of macrophyte beta diversity in tropical coastal rivers,57222529300,correia nunes l,Correia Nunes,Lais Samira,L.S.,60006028,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil
20,2021,local and regional drivers of macrophyte beta diversity in tropical coastal rivers,55578730800,saito v,Saito,Victor Satoru,V.S.,60013792,Universidade Federal de São Carlos,Sao Carlos,Brazil
20,2021,local and regional drivers of macrophyte beta diversity in tropical coastal rivers,57222530065,monteiro camargo a,Monteiro Camargo,Antonio Fernando,A.F.,60006028,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil
21,2021,invasive fish (gambusia affinis) as an ecological filter for macroinvertebrate colonization of experimental ponds,57207684523,harmon j,Harmon,Johanna J.,J.J.,60011256,Denison University,Granville,United States
21,2021,invasive fish (gambusia affinis) as an ecological filter for macroinvertebrate colonization of experimental ponds,34873615500,smith g,Smith,Geoffrey R.,G.R.,60011256,Denison University,Granville,United States
22,2021,intermittency mediates macroinvertebrate and crayfish effects on leaf breakdown in temperate headwater streams,57222005081,vanlandingham a,Vanlandingham,Amanda L.,A.L.,101603267,Center for Toxicology and Environmental Health,North Little Rock,United States
22,2021,intermittency mediates macroinvertebrate and crayfish effects on leaf breakdown in temperate headwater streams,55500410500,walker r,Walker,Richard H.,R.H.,60027090,Virginia Polytechnic Institute and State University,Blacksburg,United States
22,2021,intermittency mediates macroinvertebrate and crayfish effects on leaf breakdown in temperate headwater streams,57192298171,alford a,Alford,Adam,A.,60020631,University of Central Arkansas,Conway,United States
22,2021,intermittency mediates macroinvertebrate and crayfish effects on leaf breakdown in temperate headwater streams,15135722500,entrekin s,Entrekin,Sally A.,S.A.,60027090,Virginia Polytechnic Institute and State University,Blacksburg,United States
23,2021,how to get your feet wet in public engagement: perspectives from freshwater scientists,24775228000,burdett a,Burdett,Ayesha S.,A.S.,60007052,New Mexico Museum Natural History and Science,Albuquerque,United States
23,2021,how to get your feet wet in public engagement: perspectives from freshwater scientists,57210287642,o’reilly k,O’Reilly,Katherine E.,K.E.,60021508,University of Notre Dame,Notre Dame,United States
23,2021,how to get your feet wet in public engagement: perspectives from freshwater scientists,7003561118,bixby r,Bixby,Rebecca J.,R.J.,60033021,The University of New Mexico,Albuquerque,United States
23,2021,how to get your feet wet in public engagement: perspectives from freshwater scientists,57222004081,connealy s,Connealy,Selena S.,S.S.,60033021,The University of New Mexico,Albuquerque,United States
24,2021,influence of stream characteristics and population size on downstream transport of freshwater mollusk environmental dna,20735410600,stoeckle b,Stoeckle,Bernhard C.,B.C.,60019722,Technical University of Munich,Munich,Germany
24,2021,influence of stream characteristics and population size on downstream transport of freshwater mollusk environmental dna,36558828600,beggel s,Beggel,Sebastian,S.,60019722,Technical University of Munich,Munich,Germany
24,2021,influence of stream characteristics and population size on downstream transport of freshwater mollusk environmental dna,7005420725,kuehn r,Kuehn,Ralph,R.,60019722,Technical University of Munich,Munich,Germany
24,2021,influence of stream characteristics and population size on downstream transport of freshwater mollusk environmental dna,7006819886,geist j,Geist,Juergen,J.,60002162,New Mexico State University,Las Cruces,United States
25,2021,contrasting raz-rru stream metabolism and nutrient uptake downstream of urban wastewater effluent sites,56532028700,ledford s,Ledford,Sarah H.,S.H.,60012387,Georgia State University,Atlanta,United States
25,2021,contrasting raz-rru stream metabolism and nutrient uptake downstream of urban wastewater effluent sites,49963651600,kurz m,Kurz,Marie J.,M.J.,60010079,Academy of Natural Sciences Philadelphia,Philadelphia,United States
25,2021,contrasting raz-rru stream metabolism and nutrient uptake downstream of urban wastewater effluent sites,6603716488,toran l,Toran,Laura,L.,60030398,Temple University,Philadelphia,United States
26,2021,"spatial and seasonal variation in ecosystem metabolism are associated with aquatic macrophyte traits, shading, and water temperature in a shallow riparian pond",57222531745,riley rackliffe d,Riley Rackliffe,D.,D.,60006832,Brigham Young University,Provo,United States
26,2021,"spatial and seasonal variation in ecosystem metabolism are associated with aquatic macrophyte traits, shading, and water temperature in a shallow riparian pond",6507422886,bruce schaalje g,Bruce Schaalje,G.,G.,60006832,Brigham Young University,Provo,United States
26,2021,"spatial and seasonal variation in ecosystem metabolism are associated with aquatic macrophyte traits, shading, and water temperature in a shallow riparian pond",49963012400,carling g,Carling,Gregory T.,G.T.,60006832,Brigham Young University,Provo,United States
26,2021,"spatial and seasonal variation in ecosystem metabolism are associated with aquatic macrophyte traits, shading, and water temperature in a shallow riparian pond",7005956692,rader r,Rader,Russell B.,R.B.,60006832,Brigham Young University,Provo,United States
27,2021,effects of subsidies from small anadromous pacific salmon populations on stream and riparian food webs are mediated by channel gradient,57190891458,moravek j,Moravek,Jessie A.,J.A.,60007363,Northwestern University,Evanston,United States
27,2021,effects of subsidies from small anadromous pacific salmon populations on stream and riparian food webs are mediated by channel gradient,56491046000,clipp h,Clipp,Hannah L.,H.L.,60021143,West Virginia University,Morgantown,United States
27,2021,effects of subsidies from small anadromous pacific salmon populations on stream and riparian food webs are mediated by channel gradient,7005251631,good t,Good,Thomas P.,T.P.,60003723,NOAA Northwest Fisheries Science Center,Seattle,United States
27,2021,effects of subsidies from small anadromous pacific salmon populations on stream and riparian food webs are mediated by channel gradient,6701839883,kiffney p,Kiffney,Peter M.,P.M.,60003723,NOAA Northwest Fisheries Science Center,Seattle,United States
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",55923335500,petsch d,Petsch,Danielle K.,D.K.,60027136,Universidade Federal de Goiás,Goiania,Brazil
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",55578730800,saito v,Saito,Victor S.,V.S.,60013792,Universidade Federal de São Carlos,Sao Carlos,Brazil
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",25646107500,landeiro v,Landeiro,Victor L.,V.L.,60001701,Universidade Federal de Mato Grosso,Cuiaba,Brazil
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",23994716100,silva t,Silva,Thiago S.F.,T.S.F.,60025200,University of Stirling,Stirling,United Kingdom
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",7005544280,bini l,Bini,Luis M.,L.M.,60027136,Universidade Federal de Goiás,Goiania,Brazil
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",7005906596,heino j,Heino,Jani,J.,60012954,Oulun Yliopisto,Oulu,Finland
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",35621311000,soininen j,Soininen,Janne,J.,60002952,Helsingin Yliopisto,Helsinki,Finland
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",7003448416,tolonen k,Tolonen,Kimmo T.,K.T.,60012954,Oulun Yliopisto,Oulu,Finland
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",57003401200,jyrkänkallio-mikkola j,Jyrkänkallio-Mikkola,Jenny,J.,60002952,Helsingin Yliopisto,Helsinki,Finland
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",6602100019,pajunen v,Pajunen,Virpi,V.,60002952,Helsingin Yliopisto,Helsinki,Finland
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",24466055600,siqueira t,Siqueira,Tadeu,T.,60006028,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil
28,2021,"beta diversity of stream insects differs between boreal and subtropical regions, but land use does not generally cause biotic homogenization",7102137964,melo a,Melo,Adriano S.,A.S.,60027136,Universidade Federal de Goiás,Goiania,Brazil
29,2021,elevate your work through incorporation of public engagement,14420038500,hopfensperger k,Hopfensperger,Kristine N.,K.N.,60012560,Northern Kentucky University,Highland Heights,United States
29,2021,elevate your work through incorporation of public engagement,56419357300,larson e,Larson,Erin I.,E.I.,60004989,Alaska Pacific University,Anchorage,United States
29,2021,elevate your work through incorporation of public engagement,57200374243,washko s,Washko,Susan E.,S.E.,60010065,The University of Arizona,Tucson,United States
29,2021,elevate your work through incorporation of public engagement,36971108200,moody e,Moody,Eric K.,E.K.,60015707,Middlebury College,Middlebury,United States
30,2021,mechanisms for engaging social systems in freshwater science research,8280152400,hall d,Hall,Damon M.,D.M.,60006173,University of Missouri,Columbia,United States
30,2021,mechanisms for engaging social systems in freshwater science research,55279720700,gilbertz s,Gilbertz,Susan J.,S.J.,60019532,Montana State University - Billings,Billings,United States
30,2021,mechanisms for engaging social systems in freshwater science research,57189369126,anderson m,Anderson,Matthew B.,M.B.,60011188,Eastern Washington University,Cheney,United States
30,2021,mechanisms for engaging social systems in freshwater science research,26029697900,avellaneda p,Avellaneda,Pedro M.,P.M.,60021121,Indiana University Bloomington,Bloomington,United States
30,2021,mechanisms for engaging social systems in freshwater science research,26648230600,ficklin d,Ficklin,Darren L.,D.L.,60021121,Indiana University Bloomington,Bloomington,United States
30,2021,mechanisms for engaging social systems in freshwater science research,6603077302,knouft j,Knouft,Jason H.,J.H.,60028590,St. Louis University,St. Louis,United States
30,2021,mechanisms for engaging social systems in freshwater science research,14424263800,lowry c,Lowry,Christopher S.,C.S.,60032083,"University at Buffalo, The State University of New York",Buffalo,United States
31,2021,building resilience into water management through public engagement,7003676872,golladay s,Golladay,Stephen W.,S.W.,124029119,Jones Center,Newtown,United States
31,2021,building resilience into water management through public engagement,57217522614,craig l,Craig,Laura S.,L.S.,101777210,"Princeton Hydro, LLC",Princeton,United States
31,2021,building resilience into water management through public engagement,57220164659,depalma-dow a,Depalma-Dow,Angela D.,A.D.,113983290,Lake County Water Resources Department,Lakeport,United States
31,2021,building resilience into water management through public engagement,57220157908,emanuel b,Emanuel,Ben N.,B.N.,125492623,American Rivers,Atlanta,United States
31,2021,building resilience into water management through public engagement,57222522772,gordon rogers s,Gordon Rogers,S.,S.,125492597,Flint Riverkeeper,Albany,United States
32,2021,propylene glycol-based antifreeze is an effective preservative for dna metabarcoding of benthic arthropods,57201682743,robinson c,Robinson,Chloe V.,C.V.,60015881,University of Guelph,Guelph,Canada
32,2021,propylene glycol-based antifreeze is an effective preservative for dna metabarcoding of benthic arthropods,23489970400,porter t,Porter,Teresita M.,T.M.,60015881,University of Guelph,Guelph,Canada
32,2021,propylene glycol-based antifreeze is an effective preservative for dna metabarcoding of benthic arthropods,57204159492,wright m,Wright,Michael T.G.,M.T.G.,60015881,University of Guelph,Guelph,Canada
32,2021,propylene glycol-based antifreeze is an effective preservative for dna metabarcoding of benthic arthropods,12240029000,hajibabaei m,Hajibabaei,Mehrdad,M.,60015881,University of Guelph,Guelph,Canada
33,2021,population structure and habitat availability determine resource use by rainbow trout in high elevation lakes,57188629008,stiling r,Stiling,Rebekah R.,R.R.,60015481,University of Washington,Seattle,United States
33,2021,population structure and habitat availability determine resource use by rainbow trout in high elevation lakes,10044240100,holtgrieve g,Holtgrieve,Gordon W.,G.W.,60015481,University of Washington,Seattle,United States
33,2021,population structure and habitat availability determine resource use by rainbow trout in high elevation lakes,6701652168,olden j,Olden,Julian D.,J.D.,60015481,University of Washington,Seattle,United States
34,2021,"bloom and bust: historical trends of harmful algal blooms in muskegon lake, michigan, a great lakes estuary",57222129142,mancuso j,Mancuso,Jasmine L.,J.L.,60025659,Grand Valley State University,Allendale,United States
34,2021,"bloom and bust: historical trends of harmful algal blooms in muskegon lake, michigan, a great lakes estuary",56052812700,weinke a,Weinke,Anthony D.,A.D.,60025659,Grand Valley State University,Allendale,United States
34,2021,"bloom and bust: historical trends of harmful algal blooms in muskegon lake, michigan, a great lakes estuary",57226294756,stone i,Stone,Ian P.,I.P.,60025659,Grand Valley State University,Allendale,United States
34,2021,"bloom and bust: historical trends of harmful algal blooms in muskegon lake, michigan, a great lakes estuary",6506396261,hamsher s,Hamsher,Sarah E.,S.E.,60025659,Grand Valley State University,Allendale,United States
34,2021,"bloom and bust: historical trends of harmful algal blooms in muskegon lake, michigan, a great lakes estuary",56500563400,woller-skar m,Woller-Skar,M. Megan,M.M.,60025659,Grand Valley State University,Allendale,United States
34,2021,"bloom and bust: historical trends of harmful algal blooms in muskegon lake, michigan, a great lakes estuary",9840033500,snyder e,Snyder,Eric B.,E.B.,60025659,Grand Valley State University,Allendale,United States
34,2021,"bloom and bust: historical trends of harmful algal blooms in muskegon lake, michigan, a great lakes estuary",35606027100,biddanda b,Biddanda,Bopaiah A.,B.A.,60025659,Grand Valley State University,Allendale,United States
35,2021,"response of denitrification rate and denitrifiers to human-disturbance intensity and physicochemical factors of overlying water in a subtropical stream, china",57203789467,zhao b,Zhao,Binjie,B.,60019499,Chinese Academy of Sciences,Beijing,China
35,2021,"response of denitrification rate and denitrifiers to human-disturbance intensity and physicochemical factors of overlying water in a subtropical stream, china",57193626411,chen q,Chen,Qiuyang,Q.,60027272,The University of Edinburgh,Edinburgh,United Kingdom
35,2021,"response of denitrification rate and denitrifiers to human-disturbance intensity and physicochemical factors of overlying water in a subtropical stream, china",57221639669,li s,Li,Siyue,S.,60019499,Chinese Academy of Sciences,Beijing,China
35,2021,"response of denitrification rate and denitrifiers to human-disturbance intensity and physicochemical factors of overlying water in a subtropical stream, china",36902994700,tan x,Tan,Xiang,X.,60019499,Chinese Academy of Sciences,Beijing,China
